Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk,Year
Ravens  Ravens,39.2,3175,81,43.6,60,3530,39,11,10,4,22,34,275,0,0,2010
Falcons  Falcons,35.6,2673,74,40.2,61,3014,29,6,11,5,24,28,241,0,1,2010
Redskins  Redskins,39.0,2572,66,43.1,63,2842,28,3,9,1,21,32,250,0,0,2011
Buccaneers  Buccaneers,40.3,2697,67,45.1,65,3023,24,5,9,3,14,36,266,0,0,2011
Seahawks  Seahawks,39.3,3730,95,46.6,77,4431,34,3,17,8,20,47,541,2,0,2011
49ers  49ers,44.0,3475,78,50.3,68,3970,28,1,12,9,17,39,315,0,1,2011
Chargers  Chargers,39.7,1865,47,47.5,71,2234,17,5,3,2,12,25,329,0,0,2011
Steelers  Steelers,38.6,2318,59,44.7,66,2683,18,2,9,6,13,29,245,0,1,2011
Cardinals  Cardinals,37.3,3431,92,45.0,66,4141,26,4,13,5,20,50,610,1,0,2011
Eagles  Eagles,36.9,2474,66,42.2,60,2830,19,2,8,9,16,31,176,0,1,2011
Jets  Jets,38.8,3565,92,42.7,63,3926,32,7,16,6,31,32,241,0,0,2011
Giants  Giants,39.2,3218,82,45.7,62,3745,25,9,11,6,15,41,407,0,0,2011
Saints  Saints,43.1,2026,46,47.3,64,2224,13,7,6,4,10,19,118,0,1,2011
Patriots  Patriots,41.5,2368,57,46.5,65,2648,24,2,8,3,18,26,220,0,0,2011
Vikings  Vikings,38.0,2925,77,45.7,60,3517,22,5,7,3,19,43,532,1,0,2011
Dolphins  Dolphins,41.1,3207,78,48.8,70,3810,32,5,9,7,10,47,463,0,0,2011
Raiders  Raiders,40.9,3187,78,50.8,80,3960,27,7,10,9,8,44,593,2,0,2011
Rams  Rams,37.0,3920,105,43.9,65,4652,29,9,14,9,28,45,552,2,1,2011
Chiefs  Chiefs,40.1,3573,89,45.9,68,4084,27,5,17,5,26,36,411,1,0,2011
Jaguars  Jaguars,36.5,3614,99,41.9,65,4147,20,9,15,10,17,48,333,0,0,2011
Colts  Colts,39.2,3488,88,46.0,64,4098,21,8,11,3,18,48,550,1,1,2011
Texans  Texans,37.7,2789,74,44.0,69,3256,19,6,8,8,20,32,307,0,0,2011
Titans  Titans,39.4,3386,86,43.6,64,3747,31,10,10,7,23,36,221,0,0,2011
Packers  Packers,38.6,2121,55,45.6,71,2506,23,3,14,4,10,24,305,1,0,2011
Lions  Lions,36.0,2949,82,43.6,62,3573,23,7,19,7,13,36,484,1,0,2011
Broncos  Broncos,40.2,4058,101,47.4,66,4783,33,3,13,7,27,51,585,1,0,2011
Cowboys  Cowboys,36.7,2609,70,42.9,68,3047,25,9,6,8,17,30,278,0,1,2011
Browns  Browns,36.3,3227,89,40.1,63,3570,32,13,20,2,28,26,303,1,0,2011
Bengals  Bengals,39.2,3570,91,44.2,71,4023,24,8,10,9,26,38,273,1,0,2011
Bears  Bears,40.4,3600,89,43.9,70,3903,21,3,14,4,27,41,223,0,0,2011
Panthers  Panthers,34.1,2253,66,42.7,56,2819,19,0,11,5,15,35,466,3,0,2011
Bills  Bills,38.1,2778,72,47.6,66,3472,20,4,7,10,8,43,494,0,1,2011
Ravens  Ravens,38.6,2821,73,46.5,63,3393,21,11,9,9,11,33,392,2,0,2011
Falcons  Falcons,38.9,2760,70,42.1,59,2990,27,2,9,4,24,31,150,0,1,2011
Redskins  Redskins,37.2,2604,68,42.6,61,2984,22,3,4,3,19,39,320,0,2,2012
Buccaneers  Buccaneers,37.4,2880,76,44.7,64,3440,22,8,6,6,16,40,440,0,1,2012
Seahawks  Seahawks,40.8,2651,65,45.6,73,2963,30,9,7,3,17,29,252,0,0,2012
49ers  49ers,43.2,2897,67,48.1,66,3226,36,2,7,4,18,36,249,1,0,2012
Chargers  Chargers,40.6,3412,81,46.6,66,3914,30,5,14,7,15,40,362,0,3,2012
Steelers  Steelers,37.6,2974,78,43.0,79,3400,27,9,13,6,20,30,306,1,1,2012
Cardinals  Cardinals,41.4,4634,112,46.5,70,5209,46,7,13,8,36,48,415,0,0,2012
Eagles  Eagles,36.9,2654,71,46.3,66,3336,15,5,4,7,15,40,542,1,1,2012
Jets  Jets,38.5,3313,84,44.7,61,3848,27,11,10,8,24,31,375,1,2,2012
Giants  Giants,39.4,2284,58,47.5,68,2757,22,4,5,6,5,38,353,0,0,2012
Saints  Saints,43.2,3196,74,50.1,70,3707,20,15,10,6,12,31,391,0,0,2012
Patriots  Patriots,37.9,2311,60,42.4,62,2585,28,1,11,6,19,23,154,0,1,2012
Vikings  Vikings,39.7,2856,72,45.0,59,3237,18,4,13,2,12,41,341,0,0,2012
Dolphins  Dolphins,40.7,3095,76,49.7,67,3779,30,6,6,10,11,43,484,1,0,2012
Raiders  Raiders,39.0,3196,81,46.7,68,3826,21,4,7,9,16,45,450,0,1,2012
Rams  Rams,39.9,3274,82,45.8,68,3756,22,19,6,4,12,41,402,0,0,2012
Chiefs  Chiefs,40.8,3385,83,46.8,71,3887,45,8,19,7,22,27,362,2,0,2012
Jaguars  Jaguars,40.8,3758,91,47.3,73,4353,31,6,11,5,29,40,495,2,1,2012
Colts  Colts,40.3,2985,73,47.6,64,3520,26,10,9,8,14,32,375,1,1,2012
Texans  Texans,40.5,3567,88,47.2,66,4150,28,10,10,5,15,48,483,1,0,2012
Titans  Titans,40.4,3350,81,46.4,71,3855,30,13,9,5,15,39,405,0,2,2012
Packers  Packers,38.9,2764,70,42.9,65,3043,30,7,8,5,26,24,179,0,1,2012
Lions  Lions,36.9,2801,76,41.4,58,3149,24,8,8,1,26,33,328,2,0,2012
Broncos  Broncos,42.1,2822,67,46.3,67,3105,27,3,10,4,17,33,203,0,0,2012
Cowboys  Cowboys,39.1,2700,68,44.0,64,3039,28,13,8,3,15,29,279,1,1,2012
Browns  Browns,37.1,3343,90,41.8,58,3766,29,14,12,4,26,34,343,1,0,2012
Bengals  Bengals,42.0,3190,76,46.6,69,3540,33,9,19,7,14,27,210,0,0,2012
Bears  Bears,39.4,3195,81,42.0,64,3399,34,7,18,6,25,25,84,0,0,2012
Panthers  Panthers,36.5,2809,76,42.4,63,3267,20,4,8,7,20,37,318,1,1,2012
Bills  Bills,37.1,2965,80,44.3,66,3542,25,21,7,3,14,35,517,2,0,2012
Ravens  Ravens,40.8,3388,83,47.1,60,3911,28,8,6,7,13,49,383,0,0,2012
Falcons  Falcons,40.7,2526,60,45.9,63,2847,22,3,4,4,23,26,241,0,2,2012
Redskins  Redskins,33.8,2871,84,41.5,63,3526,26,18,9,0,18,39,655,3,1,2013
Buccaneers  Buccaneers,38.3,3333,87,44.2,62,3846,19,14,12,6,20,35,393,0,0,2013
Seahawks  Seahawks,39.2,2977,74,41.6,69,3159,28,2,16,5,30,21,82,0,2,2013
49ers  49ers,41.7,3294,79,48.2,62,3804,27,3,8,9,21,38,330,0,0,2013
Chargers  Chargers,40.0,2239,56,43.2,61,2417,30,6,11,1,19,19,158,0,0,2013
Steelers  Steelers,35.7,2712,75,41.1,70,3125,17,8,11,5,16,35,313,0,1,2013
Cardinals  Cardinals,40.1,3125,78,45.7,60,3566,35,3,13,6,20,36,321,0,0,2013
Eagles  Eagles,40.5,3358,82,44.3,70,3681,33,9,18,5,22,28,223,1,1,2013
Jets  Jets,38.5,3430,88,45.1,84,4018,24,12,7,5,21,43,488,0,1,2013
Giants  Giants,38.2,3476,91,46.9,68,4271,25,12,7,7,17,48,655,3,0,2013
Saints  Saints,42.3,2579,61,46.9,61,2859,25,13,7,5,12,24,180,0,0,2013
Patriots  Patriots,39.8,3062,77,45.8,65,3523,29,7,15,12,14,29,221,0,0,2013
Vikings  Vikings,39.2,2938,75,44.2,65,3316,23,2,14,3,20,36,318,1,0,2013
Dolphins  Dolphins,42.4,3603,85,48.8,74,4150,33,15,8,7,13,42,407,0,0,2013
Raiders  Raiders,40.1,3449,84,47.8,66,4107,23,9,11,11,11,42,438,1,2,2013
Rams  Rams,44.2,3450,78,46.3,64,3609,19,11,10,4,23,30,79,0,0,2013
Chiefs  Chiefs,39.9,3548,88,45.3,65,4034,35,4,15,12,19,38,246,0,1,2013
Jaguars  Jaguars,40.5,3848,95,45.7,61,4338,31,6,12,8,22,47,330,0,0,2013
Colts  Colts,38.5,2963,76,45.4,65,3499,27,8,15,7,17,29,396,1,1,2013
Texans  Texans,40.0,3519,88,47.6,65,4189,34,2,13,7,23,43,530,1,0,2013
Titans  Titans,39.7,3136,78,42.9,63,3386,32,7,9,2,25,35,210,0,1,2013
Packers  Packers,39.0,2493,64,44.6,62,2854,22,9,11,5,19,20,261,0,0,2013
Lions  Lions,40.4,2949,72,46.6,72,3399,22,5,7,10,18,32,250,0,1,2013
