Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,Year
Packers  Packers,20.8,32,667,0,17,1,45,0,0,0,1,2019
Lions  Lions,24.5,23,564,1,13,1,100T,0,0,0,0,2019
Broncos  Broncos,25.4,21,534,0,16,3,60,0,1,1,0,2019
Cowboys  Cowboys,16.3,20,325,0,10,0,30,0,0,0,0,2019
Browns  Browns,21.8,38,830,0,22,2,74,0,0,2,0,2019
Bengals  Bengals,26.0,42,1091,1,28,4,92T,0,1,0,0,2019
Bears  Bears,26.6,34,903,1,23,2,102T,0,1,0,0,2019
Panthers  Panthers,21.8,31,677,0,22,0,36,0,1,1,0,2019
Bills  Bills,25.1,32,802,1,21,4,66,0,0,2,0,2019
Ravens  Ravens,18.3,27,493,0,11,1,46,0,0,2,0,2019
Falcons  Falcons,22.8,25,571,0,14,1,47,0,0,0,1,2019
Football Team  Football Team,20.8,31,645,0,22,1,46,0,0,0,0,2020
Buccaneers  Buccaneers,21.8,25,546,0,19,0,34,0,1,0,0,2020
Seahawks  Seahawks,22.5,28,629,0,19,2,49,0,0,0,1,2020
49ers  49ers,19.3,27,520,0,12,0,34,0,1,0,1,2020
Chargers  Chargers,22.0,42,924,0,21,3,76,0,0,0,2,2020
Steelers  Steelers,23.1,29,670,0,20,1,49,0,0,0,0,2020
Cardinals  Cardinals,21.9,24,525,0,15,2,54,0,1,0,0,2020
Eagles  Eagles,20.9,31,648,0,17,2,46,0,1,1,1,2020
Jets  Jets,19.8,41,811,0,18,2,66,0,0,0,0,2020
Giants  Giants,21.9,36,788,0,20,2,48,0,3,0,0,2020
Saints  Saints,25.4,30,761,0,22,1,75,0,1,1,0,2020
Patriots  Patriots,23.1,31,717,0,21,1,53,0,1,1,1,2020
Vikings  Vikings,21.9,33,722,0,22,0,38,0,0,1,1,2020
Dolphins  Dolphins,17.9,12,215,0,4,1,45,0,0,0,0,2020
Raiders  Raiders,19.0,22,418,0,10,1,44,0,2,2,0,2020
Rams  Rams,20.6,25,516,0,14,1,41,0,0,1,0,2020
Chiefs  Chiefs,25.8,25,646,1,18,2,102T,0,0,1,0,2020
Jaguars  Jaguars,20.5,30,614,0,15,1,40,0,1,0,0,2020
Colts  Colts,25.8,43,1111,1,33,2,101T,0,0,0,0,2020
Texans  Texans,20.1,36,722,0,23,0,34,0,0,1,0,2020
Titans  Titans,20.2,38,767,1,18,1,42T,0,0,1,0,2020
Packers  Packers,18.9,33,623,0,17,0,34,0,1,0,0,2020
Lions  Lions,24.9,34,845,0,22,3,71,0,0,0,1,2020
Broncos  Broncos,20.6,27,557,0,17,0,31,0,0,1,1,2020
Cowboys  Cowboys,26.1,37,965,1,25,5,67,0,0,0,1,2020
Browns  Browns,22.1,36,795,0,22,1,43,0,0,1,2,2020
Bengals  Bengals,24.6,31,764,1,17,5,103T,0,0,0,0,2020
Bears  Bears,24.4,47,1145,1,31,6,104T,0,0,1,0,2020
Panthers  Panthers,25.3,29,734,0,21,1,98,0,0,0,1,2020
Bills  Bills,27.6,36,995,0,30,5,60,0,2,0,0,2020
Ravens  Ravens,26.7,23,613,1,17,1,93T,0,0,0,0,2020
Falcons  Falcons,20.5,20,409,0,11,0,29,0,1,0,0,2020
