Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Bills  Bills,220,73,11,5,171,50.7,89,21.5,1027,2014
Ravens  Ravens,221,89,14,5,205,53.7,75,19.2,1034,2014
Falcons  Falcons,203,95,8,4,224,62.4,108,24.0,1038,2014
Redskins  Redskins,207,78,20,11,202,57.1,103,25.4,1010,2015
Buccaneers  Buccaneers,211,97,6,4,208,55.0,104,22.3,1044,2015
Seahawks  Seahawks,195,67,7,1,175,52.6,71,19.6,947,2015
49ers  49ers,210,82,11,6,199,53.1,128,25.4,1081,2015
Chargers  Chargers,195,74,8,7,170,51.8,101,24.2,959,2015
Steelers  Steelers,225,90,24,7,231,57.5,71,18.6,1055,2015
Cardinals  Cardinals,210,75,17,8,177,51.6,79,21.2,982,2015
Eagles  Eagles,231,99,9,6,239,60.7,100,20.9,1148,2015
Jets  Jets,232,77,23,13,185,53.9,62,16.6,1013,2015
Giants  Giants,230,108,14,8,236,55.8,104,23.4,1105,2015
Saints  Saints,176,71,13,10,223,59.9,103,24.5,996,2015
Patriots  Patriots,225,84,18,8,204,56.5,77,19.4,1042,2015
Vikings  Vikings,206,71,22,11,189,52.6,94,22.9,1015,2015
Dolphins  Dolphins,221,96,12,4,203,58.0,112,22.3,1075,2015
Raiders  Raiders,224,84,17,9,206,51.0,94,23.2,1085,2015
Rams  Rams,225,78,15,4,192,48.1,98,21.6,1091,2015
Chiefs  Chiefs,217,72,27,13,193,55.3,86,22.5,1037,2015
Jaguars  Jaguars,227,105,12,6,222,56.9,102,22.0,1102,2015
Colts  Colts,227,89,14,10,210,59.3,89,19.7,1072,2015
Texans  Texans,214,61,12,7,173,53.1,79,20.4,986,2015
Titans  Titans,216,92,12,4,192,60.2,101,21.9,1003,2015
Packers  Packers,220,79,21,10,183,57.0,96,22.9,1014,2015
Lions  Lions,200,82,8,5,191,53.1,96,22.4,999,2015
Broncos  Broncos,227,80,14,5,162,47.1,81,19.9,1033,2015
Cowboys  Cowboys,208,81,10,5,172,52.1,113,24.5,998,2015
Browns  Browns,203,81,15,10,186,57.8,104,22.7,998,2015
Bengals  Bengals,218,86,20,9,202,48.7,74,21.5,1032,2015
Bears  Bears,201,89,12,5,182,56.5,103,23.8,980,2015
Panthers  Panthers,227,86,26,15,198,50.8,74,20.3,1058,2015
Bills  Bills,210,85,13,3,197,56.8,87,22.1,1017,2015
