Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Browns  Browns,469,265,56.5,6.7,2959,16,9,80.6,149,31.8,43,8,80T,32,2011
Bengals  Bengals,539,319,59.2,6.8,3385,21,10,85.0,170,31.5,47,7,74T,45,2011
Bears  Bears,631,383,60.7,6.8,4065,22,20,79.3,199,31.5,49,9,79T,33,2011
Panthers  Panthers,490,318,64.9,8.4,3949,28,14,98.3,191,39.0,52,11,84T,31,2011
Bills  Bills,507,321,63.3,7.7,3714,30,20,90.4,196,38.7,48,11,65T,29,2011
Ravens  Ravens,535,288,53.8,6.4,3140,11,15,68.8,166,31.0,46,8,66,48,2011
Falcons  Falcons,560,340,60.7,7.2,3786,25,19,83.3,186,33.2,56,12,70T,33,2011
Redskins  Redskins,636,393,61.8,7.4,4511,31,21,87.0,223,35.1,58,11,85T,32,2012
Buccaneers  Buccaneers,627,410,65.4,7.9,4758,30,18,93.5,226,36.0,69,11,80T,27,2012
Seahawks  Seahawks,564,327,58.0,6.2,3250,15,18,71.8,186,33.0,40,5,56,36,2012
49ers  49ers,567,337,59.4,6.1,3203,19,14,78.0,178,31.4,38,7,53,38,2012
Chargers  Chargers,568,347,61.1,6.9,3681,28,14,87.9,201,35.4,45,11,55,38,2012
Steelers  Steelers,523,299,57.2,6.0,2963,19,10,79.0,169,32.3,31,2,71T,37,2012
Cardinals  Cardinals,497,270,54.3,6.9,3213,20,22,71.2,160,32.2,48,8,80T,38,2012
Eagles  Eagles,485,292,60.2,7.6,3470,33,8,99.6,178,36.7,52,11,63T,30,2012
Jets  Jets,494,266,53.8,6.5,3036,20,11,78.2,161,32.6,42,4,83T,30,2012
Giants  Giants,534,341,63.9,8.1,4068,26,21,88.7,196,36.7,60,13,62T,33,2012
Saints  Saints,602,370,61.5,8.1,4681,31,15,93.8,236,39.2,66,14,95,30,2012
Patriots  Patriots,594,369,62.1,7.7,4342,27,20,86.9,207,34.8,74,8,68T,37,2012
Vikings  Vikings,612,391,63.9,6.8,3908,28,10,92.3,229,37.4,44,5,73,44,2012
Dolphins  Dolphins,600,353,58.8,7.0,3974,18,10,83.4,215,35.8,60,6,66,42,2012
Raiders  Raiders,526,347,66.0,7.5,3775,28,11,97.5,180,34.2,56,12,64,25,2012
Rams  Rams,547,362,66.2,7.2,3602,16,17,83.9,197,36.0,36,7,68T,52,2012
Chiefs  Chiefs,464,279,60.1,8.0,3533,29,7,99.9,176,37.9,51,10,62T,27,2012
Jaguars  Jaguars,535,341,63.7,7.4,3832,21,12,89.8,194,36.3,48,8,59,20,2012
Colts  Colts,535,334,62.4,7.4,3788,23,12,90.1,190,35.5,44,9,80T,32,2012
Texans  Texans,581,308,53.0,6.7,3612,29,15,80.0,167,28.7,54,11,81T,44,2012
Titans  Titans,564,374,66.3,7.5,3964,31,19,92.7,210,37.2,55,7,82T,39,2012
Packers  Packers,568,313,55.1,6.7,3492,24,18,76.8,191,33.6,50,7,80T,47,2012
Lions  Lions,544,346,63.6,7.0,3569,26,11,91.7,167,30.7,42,13,71T,34,2012
Broncos  Broncos,559,321,57.4,6.4,3194,25,16,79.4,183,32.7,39,9,61T,52,2012
Cowboys  Cowboys,511,320,62.6,7.6,3684,22,7,94.7,195,38.2,52,9,68T,34,2012
Browns  Browns,600,378,63.0,6.9,3923,27,17,86.6,203,33.8,43,8,64T,38,2012
Bengals  Bengals,560,346,61.8,6.7,3400,16,14,80.7,183,32.7,51,5,71T,51,2012
Bears  Bears,592,350,59.1,6.3,3423,19,24,71.3,186,31.4,47,4,62,41,2012
Panthers  Panthers,555,371,66.8,6.9,3568,22,11,91.7,195,35.1,38,5,60T,39,2012
Bills  Bills,536,306,57.1,6.8,3473,25,12,84.4,182,34.0,45,7,53,36,2012
Ravens  Ravens,557,335,60.1,7.0,3650,15,13,80.6,187,33.6,49,8,59,37,2012
Falcons  Falcons,551,337,61.2,7.4,3878,14,20,77.1,189,34.3,53,6,77T,29,2012
Redskins  Redskins,514,337,65.6,8.0,3896,29,16,96.1,204,39.7,58,7,57,36,2013
Buccaneers  Buccaneers,547,352,64.4,7.4,3806,30,21,88.9,190,34.7,46,10,80T,35,2013
Seahawks  Seahawks,524,309,59.0,5.8,2752,16,28,63.4,156,29.8,30,3,73T,44,2013
49ers  49ers,585,345,59.0,6.5,3536,19,18,76.4,181,30.9,43,9,75T,38,2013
Chargers  Chargers,548,364,66.4,8.0,4139,23,11,96.4,208,38.0,58,10,74T,35,2013
Steelers  Steelers,569,329,57.8,6.6,3553,21,10,82.7,174,30.6,46,12,81T,34,2013
Cardinals  Cardinals,625,367,58.7,6.5,3728,29,20,80.3,208,33.3,48,5,72T,47,2013
Eagles  Eagles,670,408,60.9,7.3,4636,25,19,84.0,239,35.7,62,9,66,37,2013
