Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Jaguars  Jaguars,221,78,16,7,207,56.1,75,19.1,1052,2016
Colts  Colts,202,87,18,8,220,59.5,93,22.7,1037,2016
Texans  Texans,233,87,23,9,173,49.9,102,22.4,1071,2016
Titans  Titans,217,100,11,4,175,57.0,115,24.2,1008,2016
Packers  Packers,210,98,17,7,222,55.1,91,24.3,1029,2016
Lions  Lions,195,83,10,7,217,55.9,76,21.7,981,2016
Broncos  Broncos,219,75,17,9,181,53.4,76,18.5,1020,2016
Cowboys  Cowboys,189,80,9,8,191,58.8,142,28.5,1010,2016
Browns  Browns,212,77,18,13,181,53.6,83,23.7,983,2016
Bengals  Bengals,210,82,9,7,204,56.0,100,22.4,1050,2016
Bears  Bears,185,70,14,4,212,61.1,93,24.5,967,2016
Panthers  Panthers,223,83,17,11,194,63.4,99,21.9,1052,2016
Bills  Bills,210,86,15,8,155,54.2,146,29.7,1012,2016
Ravens  Ravens,233,86,19,8,205,46.7,79,21.5,1079,2016
Falcons  Falcons,178,75,14,8,239,63.9,108,25.7,995,2016
Redskins  Redskins,204,66,16,9,191,55.0,66,16.5,982,2017
Buccaneers  Buccaneers,196,85,8,4,243,64.3,76,19.5,1034,2017
Seahawks  Seahawks,212,79,9,5,183,53.8,85,20.8,1007,2017
49ers  49ers,234,91,18,8,206,56.9,88,21.6,1058,2017
Chargers  Chargers,209,84,11,5,220,60.1,84,20.0,1020,2017
Steelers  Steelers,209,92,8,3,217,56.5,96,22.0,1051,2017
Cardinals  Cardinals,233,82,16,7,200,59.0,66,16.1,1059,2017
Eagles  Eagles,230,96,26,17,193,56.6,108,22.8,1073,2017
Jets  Jets,228,81,13,7,157,48.6,77,18.0,984,2017
Giants  Giants,227,74,21,8,178,47.7,66,16.8,1036,2017
Saints  Saints,194,73,15,12,201,52.1,111,25.0,1000,2017
Patriots  Patriots,202,82,13,8,232,59.6,107,23.9,1070,2017
Vikings  Vikings,216,94,7,1,196,54.9,100,20.0,1055,2017
Dolphins  Dolphins,202,64,24,7,187,50.1,66,18.3,995,2017
Raiders  Raiders,204,82,24,8,178,51.3,78,21.1,952,2017
Rams  Rams,214,88,12,5,185,57.8,97,21.4,1000,2017
Chiefs  Chiefs,199,78,10,3,198,54.5,95,23.5,985,2017
Jaguars  Jaguars,227,85,13,10,193,61.1,101,19.2,1078,2017
Colts  Colts,228,87,17,8,148,51.9,94,20.8,994,2017
Texans  Texans,209,76,10,5,180,60.2,86,19.2,1027,2017
Titans  Titans,202,71,10,5,157,51.3,97,21.9,974,2017
Packers  Packers,211,83,28,15,176,50.0,99,25.6,999,2017
Lions  Lions,209,81,9,1,210,56.1,58,16.0,980,2017
Broncos  Broncos,241,94,20,7,180,54.2,92,20.1,1075,2017
Cowboys  Cowboys,203,87,19,10,162,52.4,127,26.5,1005,2017
Browns  Browns,216,73,23,12,157,50.3,97,25.3,1008,2017
Bengals  Bengals,199,67,12,5,165,54.3,72,19.1,927,2017
Bears  Bears,205,71,18,7,144,49.5,93,22.0,934,2017
Panthers  Panthers,222,93,11,5,167,57.0,121,24.7,1026,2017
Bills  Bills,241,101,15,2,149,51.6,105,21.6,1010,2017
Ravens  Ravens,223,76,16,10,168,46.3,111,24.1,1054,2017
Falcons  Falcons,197,88,13,4,200,58.3,101,23.5,984,2017
Redskins  Redskins,206,75,18,10,156,50.2,96,23.2,967,2018
Buccaneers  Buccaneers,187,86,13,9,265,65.0,80,20.6,1055,2018
Seahawks  Seahawks,208,81,14,11,156,55.7,133,24.9,1012,2018
49ers  49ers,193,73,10,5,201,60.7,98,23.2,1003,2018
Chargers  Chargers,177,70,8,7,213,61.2,100,25.1,945,2018
Steelers  Steelers,198,88,14,9,251,54.7,88,25.5,1058,2018
Cardinals  Cardinals,199,58,16,6,137,48.4,76,21.4,902,2018
Eagles  Eagles,205,84,23,14,221,52.4,94,23.6,1037,2018
Jets  Jets,214,69,22,11,157,52.5,84,20.5,971,2018
Giants  Giants,206,76,20,12,208,54.5,71,20.1,984,2018
Saints  Saints,184,82,16,13,210,55.1,134,28.5,1010,2018
Patriots  Patriots,201,82,14,7,206,54.5,131,27.4,1073,2018
Vikings  Vikings,204,73,21,9,218,51.3,66,18.5,1003,2018
Dolphins  Dolphins,186,56,13,8,153,52.4,75,20.2,878,2018
Raiders  Raiders,197,73,16,7,197,51.6,86,22.2,995,2018
Rams  Rams,191,86,15,6,236,64.1,134,29.2,1060,2018
Chiefs  Chiefs,176,83,15,12,239,62.1,108,27.9,996,2018
Jaguars  Jaguars,230,93,17,8,164,49.8,92,22.1,1005,2018
Colts  Colts,214,104,15,7,237,54.9,96,23.5,1070,2018
Texans  Texans,208,77,12,8,202,58.6,94,19.9,1040,2018
Titans  Titans,205,82,12,7,156,53.2,106,23.3,938,2018
Packers  Packers,204,75,20,10,208,53.1,98,29.4,1026,2018
Lions  Lions,208,75,18,11,201,53.6,91,22.5,1019,2018
Broncos  Broncos,207,69,25,15,181,49.3,107,27.2,1015,2018
Cowboys  Cowboys,215,89,21,12,184,51.7,113,25.7,1022,2018
Browns  Browns,208,73,21,9,189,53.5,93,22.6,1023,2018
Bengals  Bengals,187,69,17,9,182,55.0,92,25.6,938,2018
Bears  Bears,200,82,15,9,177,51.5,108,23.1,1013,2018
Panthers  Panthers,185,77,19,9,212,56.1,117,28.1,1011,2018
Bills  Bills,215,68,18,7,137,50.6,108,23.1,1008,2018
Ravens  Ravens,231,104,22,13,184,55.1,153,28.0,1135,2018
Falcons  Falcons,203,92,19,10,238,55.6,84,23.9,1010,2018
Redskins  Redskins,179,52,14,6,154,51.7,74,20.8,885,2019
Buccaneers  Buccaneers,217,90,17,9,244,63.9,81,19.8,1086,2019
Seahawks  Seahawks,200,79,14,7,190,55.7,121,25.2,1046,2019
49ers  49ers,200,90,12,7,195,58.9,110,22.1,1012,2019
