Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Saints  Saints,378,4490,11.9,34,58,11,75T,215,56.9,5,2009
Patriots  Patriots,390,4540,11.6,28,43,12,81T,222,56.9,4,2009
Vikings  Vikings,377,4403,11.7,34,55,13,63,220,58.4,3,2009
Dolphins  Dolphins,331,3396,10.3,15,29,4,67,188,56.8,6,2009
Raiders  Raiders,255,2875,11.3,10,30,4,86T,131,51.4,2,2009
Rams  Rams,312,2970,9.5,12,32,2,50,159,51.0,5,2009
Chiefs  Chiefs,296,3183,10.8,18,41,9,61,139,47.0,1,2009
Jaguars  Jaguars,315,3599,11.4,15,44,6,63,170,54.0,5,2009
Colts  Colts,402,4605,11.5,34,62,8,80T,241,60.0,3,2009
Texans  Texans,399,4803,12.0,29,63,15,72T,231,57.9,6,2009
Titans  Titans,271,3104,11.5,16,32,8,69T,154,56.8,5,2009
Packers  Packers,357,4492,12.6,30,55,17,83T,201,56.3,4,2009
Lions  Lions,316,3471,11.0,16,39,6,75T,168,53.2,5,2009
Broncos  Broncos,341,3825,11.2,21,43,9,87T,186,54.5,2,2009
Cowboys  Cowboys,347,4483,12.9,26,61,17,80T,203,58.5,3,2009
Browns  Browns,219,2255,10.3,11,25,4,59T,118,53.9,5,2009
Bengals  Bengals,286,3134,11.0,21,36,5,73,159,55.6,7,2009
Bears  Bears,340,3677,10.8,27,56,6,71,170,50.0,3,2009
Panthers  Panthers,264,3070,11.6,16,39,10,66,152,57.6,3,2009
Bills  Bills,256,2789,10.9,17,31,6,98T,126,49.2,5,2009
Ravens  Ravens,321,3637,11.3,21,44,8,72T,187,58.3,2,2009
Falcons  Falcons,332,3697,11.1,26,39,5,90T,192,57.8,3,2009
Redskins  Redskins,349,4261,12.2,21,51,13,76,194,55.6,8,2010
Buccaneers  Buccaneers,306,3564,11.6,26,49,10,64,172,56.2,6,2010
Seahawks  Seahawks,324,3536,10.9,14,39,11,87T,159,49.1,3,2010
49ers  49ers,282,3613,12.8,19,53,10,66T,149,52.8,3,2010
Chargers  Chargers,359,4746,13.2,30,66,14,59T,236,65.7,5,2010
Steelers  Steelers,298,3890,13.1,22,62,11,56T,175,58.7,3,2010
Cardinals  Cardinals,285,3264,11.5,10,44,3,74T,154,54.0,4,2010
Eagles  Eagles,348,4215,12.1,28,61,15,91T,189,54.3,6,2010
Jets  Jets,288,3420,11.9,20,44,11,74T,171,59.4,3,2010
Giants  Giants,339,4002,11.8,31,57,7,92T,192,56.6,3,2010
Saints  Saints,450,4636,10.3,33,47,10,80T,236,52.4,2,2010
Patriots  Patriots,331,4022,12.2,37,54,10,79T,196,59.2,2,2010
Vikings  Vikings,305,3327,10.9,14,47,3,53T,159,52.1,3,2010
Dolphins  Dolphins,335,3755,11.2,17,44,4,57T,189,56.4,3,2010
Raiders  Raiders,279,3471,12.4,18,45,12,73T,159,57.0,4,2010
Rams  Rams,354,3512,9.9,18,36,4,49,179,50.6,2,2010
Chiefs  Chiefs,274,3189,11.6,27,40,4,75T,167,60.9,2,2010
Jaguars  Jaguars,291,3356,11.5,26,47,6,75,161,55.3,3,2010
Colts  Colts,450,4700,10.4,33,43,9,73T,253,56.2,3,2010
Texans  Texans,365,4370,12.0,24,59,9,60,222,60.8,3,2010
Titans  Titans,273,3278,12.0,24,44,8,80T,155,56.8,4,2010
Packers  Packers,352,4355,12.4,31,57,11,86T,204,58.0,9,2010
Lions  Lions,383,4001,10.4,26,43,6,87T,199,52.0,4,2010
Broncos  Broncos,334,4307,12.9,25,62,13,71,204,61.1,5,2010
Cowboys  Cowboys,379,4208,11.1,29,57,8,71T,201,53.0,8,2010
Browns  Browns,296,3203,10.8,13,42,6,65T,154,52.0,4,2010
Bengals  Bengals,365,3988,10.9,26,45,9,78T,206,56.4,4,2010
Bears  Bears,276,3397,12.3,23,42,6,89T,163,59.1,7,2010
Panthers  Panthers,256,2635,10.3,9,30,3,88T,125,48.8,2,2010
Bills  Bills,296,3371,11.4,24,42,8,65T,166,56.1,8,2010
Ravens  Ravens,308,3629,11.8,25,40,7,67,175,56.8,3,2010
Falcons  Falcons,361,3725,10.3,28,32,6,46,200,55.4,3,2010
Redskins  Redskins,346,4058,11.7,19,57,7,51,204,59.0,4,2011
Buccaneers  Buccaneers,365,3838,10.5,17,37,6,65T,180,49.3,7,2011
Seahawks  Seahawks,299,3444,11.5,15,51,9,61T,153,51.2,1,2011
49ers  49ers,277,3193,11.5,18,41,6,56T,150,54.2,3,2011
Chargers  Chargers,366,4624,12.6,27,69,8,58,234,63.9,4,2011
Steelers  Steelers,341,4333,12.7,21,60,10,95T,221,64.8,4,2011
Cardinals  Cardinals,307,3954,12.9,21,55,15,73T,175,57.0,4,2011
Eagles  Eagles,330,4276,13.0,22,64,10,73,197,59.7,3,2011
Jets  Jets,310,3542,11.4,26,41,3,74,173,55.8,3,2011
Giants  Giants,359,4933,13.7,29,67,18,99T,216,60.2,2,2011
Saints  Saints,472,5505,11.7,46,69,11,79T,280,59.3,3,2011
Patriots  Patriots,402,5257,13.1,39,72,14,99T,262,65.2,1,2011
Vikings  Vikings,286,3255,11.4,20,41,7,72,159,55.6,5,2011
Dolphins  Dolphins,280,3425,12.2,20,56,7,65T,166,59.3,3,2011
Raiders  Raiders,315,4119,13.1,20,63,14,78,186,59.0,4,2011
Rams  Rams,292,3258,11.2,9,37,3,68,159,54.5,5,2011
Chiefs  Chiefs,299,3288,11.0,13,39,7,52T,163,54.5,3,2011
